Area,Bedrooms,Bathrooms,Parking,Location,Price
1200,2,1,1,Urban,3500000
1500,3,2,1,Urban,4500000
1800,3,2,2,Urban,5500000
2000,4,3,2,Urban,6500000
2200,4,3,2,Urban,7200000
2500,5,4,3,Suburban,8500000
2700,5,4,3,Suburban,9200000
3000,6,5,3,Suburban,10500000
3200,6,5,4,Rural,11500000
3500,7,6,4,Rural,12500000
1100,2,1,1,Urban,3200000
1400,3,2,1,Urban,4200000
1600,3,2,2,Suburban,5000000
1900,4,3,2,Suburban,6200000
2100,4,3,2,Suburban,7000000
2400,5,4,3,Rural,8300000
2600,5,4,3,Rural,9100000
2900,6,5,3,Urban,10200000
3100,6,5,4,Suburban,11200000
3400,7,6,4,Rural,12200000
