CustomerID,Age,MonthlyIncome,PurchaseFrequency,SupportRating,SatisfactionLevel
1,22,25000,2,2,Low
2,25,28000,3,3,Low
3,27,30000,4,3,Low
4,29,32000,4,4,Medium
5,31,35000,5,4,Medium
6,33,37000,5,5,Medium
7,35,40000,6,5,Medium
8,37,42000,6,6,Medium
9,39,45000,7,6,Medium
10,41,48000,7,7,High
11,43,50000,8,7,High
12,45,53000,8,8,High
13,47,56000,9,8,High
14,49,59000,9,9,High
15,51,62000,10,9,High
16,23,26000,2,2,Low
17,26,29000,3,3,Low
18,28,31000,4,3,Low
19,30,34000,4,4,Medium
20,32,36000,5,4,Medium
21,34,39000,5,5,Medium
22,36,41000,6,5,Medium
23,38,44000,6,6,Medium
24,40,47000,7,6,Medium
25,42,49000,7,7,High
26,44,52000,8,7,High
27,46,55000,8,8,High
28,48,58000,9,8,High
29,50,61000,9,9,High
30,52,64000,10,9,High
