OrderID,CustomerID,CustomerLatitude,CustomerLongitude,PartnerID,PartnerLatitude,PartnerLongitude,RestaurantID,RestaurantLatitude,RestaurantLongitude,DistanceKM,TrafficLevel,WeatherCondition,PartnerRating,PartnerAvailability,OrderValue,DeliveryTimeMinutes
1,25795,19.918359,75.349665,1860,19.883961,75.315264,770,19.847652,75.408253,5.4,High,Cloudy,3.1,Available,1315,26
2,94478,19.973964,75.258193,8849,19.933025,75.270032,975,19.955158,75.33551,4.73,Low,Rainy,4.7,Available,2314,22
3,97313,19.879556,75.296354,9792,19.831153,75.269443,815,19.83812,75.325676,6.15,Low,Rainy,3.3,Available,1685,22
4,87189,19.757202,75.410571,4843,19.752177,75.400086,809,19.825467,75.446935,1.29,High,Cloudy,3.4,Available,2443,19
5,99812,19.81241,75.407184,7863,19.798085,75.385277,736,19.819241,75.349732,2.91,High,Sunny,3.1,Busy,1467,10
6,58190,19.912577,75.382252,6258,19.939704,75.339656,998,19.889932,75.320791,5.61,High,Sunny,4.2,Available,602,22
7,45222,19.885998,75.26868,9996,19.892122,75.256973,598,19.961472,75.324506,1.47,Low,Cloudy,3.5,Available,492,11
8,33419,19.757229,75.359103,2484,19.738665,75.35996,678,19.82244,75.31899,2.06,Low,Rainy,4.5,Available,1283,17
9,91734,19.96383,75.40203,4157,19.97717,75.439176,783,20.012418,75.351881,4.38,Medium,Cloudy,4.1,Busy,1596,19
10,76842,19.831091,75.276195,7776,19.797557,75.279604,615,19.828664,75.306985,3.74,Medium,Rainy,3.3,Available,1595,19
11,78840,19.764925,75.263479,4763,19.739613,75.283109,612,19.798888,75.207173,3.56,Low,Rainy,4.2,Available,1689,20
12,65680,19.862574,75.446413,6249,19.83678,75.463627,552,19.904433,75.404435,3.44,High,Cloudy,3.7,Available,297,19
13,99045,19.933619,75.237679,2930,19.934439,75.25726,739,19.990956,75.209832,2.18,High,Cloudy,4.0,Available,1834,19
14,81295,19.942673,75.368923,7694,19.966195,75.33983,837,19.949305,75.400249,4.15,High,Cloudy,5.0,Available,980,17
15,12049,19.95636,75.425105,6423,19.96967,75.409008,753,19.932234,75.461258,2.32,High,Cloudy,4.6,Available,686,21
16,12557,19.973943,75.27098,6592,19.954479,75.269541,598,19.965691,75.350093,2.17,Low,Sunny,4.0,Available,1627,25
17,32399,19.820854,75.335635,2218,19.821735,75.349268,900,19.780928,75.350014,1.52,Medium,Sunny,4.0,Busy,2174,14
18,49790,19.802943,75.324798,6600,19.810143,75.351653,952,19.72992,75.403926,3.09,Medium,Sunny,3.6,Busy,1868,26
19,43828,19.848482,75.441664,3327,19.894844,75.476965,848,19.815594,75.42328,6.47,High,Sunny,3.6,Available,1916,34
20,61885,19.891452,75.447513,4863,19.85546,75.449346,613,19.951832,75.486036,4.0,Low,Sunny,4.4,Available,1600,20
21,15801,19.936326,75.416768,3806,19.97765,75.417902,525,19.936569,75.464495,4.59,Low,Cloudy,4.6,Busy,1266,19
22,20966,19.857088,75.335661,1853,19.835742,75.344744,550,19.781968,75.261637,2.57,Medium,Rainy,3.7,Available,2411,16
23,29508,19.972008,75.314316,6691,20.00621,75.283754,991,19.957825,75.346238,5.09,Low,Cloudy,4.0,Available,756,18
24,35945,19.971409,75.408995,9932,19.991006,75.39989,973,19.919136,75.354025,2.4,Medium,Cloudy,3.2,Available,996,7
25,13343,19.877501,75.35293,5070,19.869461,75.327703,691,19.854457,75.394185,2.94,Low,Sunny,3.2,Available,1108,22
26,72752,19.899448,75.212015,8421,19.944363,75.250683,721,19.861191,75.134464,6.58,High,Cloudy,4.0,Available,615,32
27,37663,19.897756,75.206628,3839,19.906334,75.250651,835,19.909832,75.188735,4.98,Low,Sunny,4.6,Busy,1391,27
28,79449,19.813011,75.253647,2066,19.800737,75.207543,543,19.831932,75.227496,5.3,Medium,Sunny,4.7,Available,517,25
29,67458,19.777178,75.374184,9808,19.790072,75.411931,890,19.814789,75.422741,4.43,Low,Cloudy,3.8,Available,1222,14
30,75510,19.949437,75.340467,3143,19.923297,75.358451,651,19.987822,75.298585,3.52,Medium,Sunny,4.1,Available,828,14
31,60517,19.772997,75.213371,5492,19.818851,75.248085,686,19.749782,75.286459,6.38,High,Rainy,4.0,Available,495,35
32,70566,19.776097,75.432732,2167,19.823522,75.482325,556,19.705036,75.470658,7.62,Low,Rainy,4.4,Busy,1053,26
