Customers,AverageSpend,LocationScore,MarketingSpend,Revenue
50,200,7,5000,15000
60,220,8,6000,18000
70,250,9,7000,22000
80,270,8,7500,25000
90,300,9,8000,29000
100,320,10,8500,33000
110,350,9,9000,37000
120,370,10,9500,41000
130,400,9,10000,45000
140,420,10,10500,49000
150,450,10,11000,54000
160,470,9,11500,58000
170,500,10,12000,62000
180,520,9,12500,66000
190,550,10,13000,70000
200,570,9,13500,74000
210,600,10,14000,78000
220,620,9,14500,82000
230,650,10,15000,86000
240,670,9,15500,90000
250,700,10,16000,94000
260,720,9,16500,98000
270,750,10,17000,102000
280,770,9,17500,106000
290,800,10,18000,110000
55,210,7,5200,16000
65,230,8,6200,19000
75,260,9,7200,23000
85,280,8,7700,26000
95,310,9,8200,30000
105,330,10,8700,34000
115,360,9,9200,38000
125,380,10,9700,42000
135,410,9,10200,46000
145,430,10,10700,50000
155,460,10,11200,55000
165,480,9,11700,59000
175,510,10,12200,63000
185,530,9,12700,67000
195,560,10,13200,71000
205,580,9,13700,75000
215,610,10,14200,79000
225,630,9,14700,83000
235,660,10,15200,87000
245,680,9,15700,91000
255,710,10,16200,95000
265,730,9,16700,99000
275,760,10,17200,103000
285,780,9,17700,107000
295,810,10,18200,111000
52,205,7,5100,15500
62,225,8,6100,18500
72,255,9,7100,22500
82,275,8,7600,25500
92,305,9,8100,29500
102,325,10,8600,33500
112,355,9,9100,37500
122,375,10,9600,41500
132,405,9,10100,45500
142,425,10,10600,49500
152,455,10,11100,54500
162,475,9,11600,58500
172,505,10,12100,62500
182,525,9,12600,66500
192,555,10,13100,70500
202,575,9,13600,74500
212,605,10,14100,78500
222,625,9,14600,82500
232,655,10,15100,86500
242,675,9,15600,90500
252,705,10,16100,94500
262,725,9,16600,98500
272,755,10,17100,102500
282,775,9,17600,106500
292,805,10,18100,110500
58,215,7,5300,16500
68,235,8,6300,19500
78,265,9,7300,23500
88,285,8,7800,26500
98,315,9,8300,30500
108,335,10,8800,34500
118,365,9,9300,38500
128,385,10,9800,42500
138,415,9,10300,46500
148,435,10,10800,50500
158,465,10,11300,55500
168,485,9,11800,59500
178,515,10,12300,63500
188,535,9,12800,67500
198,565,10,13300,71500
208,585,9,13800,75500
218,615,10,14300,79500
228,635,9,14800,83500
238,665,10,15300,87500
248,685,9,15800,91500
