HospitalID,HospitalName,City,HospitalType,DistanceKM,Rating,AvailableBeds,EmergencyAvailable,ConsultationFee
1,Hospital_1,Mumbai,Orthopedic,6.31,2.7,283,Yes,464
2,Hospital_2,Nashik,Children,10.37,4.9,500,Yes,403
3,Hospital_3,Kolhapur,Orthopedic,6.06,3.4,456,Yes,1638
4,Hospital_4,Mumbai,Multi-Speciality,2.58,3.9,362,Yes,592
5,Hospital_5,Mumbai,General,13.87,3.7,199,No,1930
6,Hospital_6,Aurangabad,General,8.81,4.8,167,No,1659
7,Hospital_7,Aurangabad,Multi-Speciality,0.62,2.7,217,Yes,1120
8,Hospital_8,Nashik,Children,24.78,4.3,126,No,1430
9,Hospital_9,Thane,Multi-Speciality,18.43,3.3,477,Yes,812
10,Hospital_10,Thane,Emergency,17.01,2.8,150,Yes,1169
11,Hospital_11,Thane,Emergency,22.82,3.5,278,No,868
12,Hospital_12,Nashik,Emergency,14.99,4.4,468,No,1367
13,Hospital_13,Thane,Emergency,19.21,2.7,485,No,771
14,Hospital_14,Pune,Multi-Speciality,11.85,4.0,70,No,1974
15,Hospital_15,Nagpur,Orthopedic,1.12,4.5,189,Yes,1500
16,Hospital_16,Pune,Emergency,13.56,2.7,253,No,1027
17,Hospital_17,Pune,Children,8.08,3.5,59,No,387
18,Hospital_18,Kolhapur,Emergency,19.94,3.6,1,Yes,411
19,Hospital_19,Aurangabad,Orthopedic,13.31,2.7,415,Yes,1728
20,Hospital_20,Mumbai,Children,24.8,4.7,58,No,211
21,Hospital_21,Kolhapur,Cardiac,10.58,4.3,267,No,695
22,Hospital_22,Pune,Multi-Speciality,20.05,2.6,454,Yes,989
23,Hospital_23,Mumbai,Multi-Speciality,12.42,3.9,358,Yes,1200
24,Hospital_24,Mumbai,Emergency,24.92,4.0,263,No,1967
25,Hospital_25,Aurangabad,Emergency,17.19,4.3,7,Yes,1794
26,Hospital_26,Kolhapur,Orthopedic,10.08,4.3,483,No,1154
27,Hospital_27,Aurangabad,Children,21.1,4.6,435,No,1391
28,Hospital_28,Aurangabad,General,20.21,4.5,233,No,658
29,Hospital_29,Aurangabad,Orthopedic,22.35,2.9,119,No,1651
30,Hospital_30,Mumbai,Multi-Speciality,24.6,2.8,230,No,806
31,Hospital_31,Mumbai,General,16.49,5.0,21,No,208
32,Hospital_32,Mumbai,Cardiac,13.26,3.4,138,Yes,377
33,Hospital_33,Nagpur,General,15.82,3.6,185,No,1940
34,Hospital_34,Thane,General,15.02,2.5,486,No,219
35,Hospital_35,Kolhapur,Orthopedic,5.17,4.2,31,No,1514
36,Hospital_36,Pune,Orthopedic,15.81,3.3,263,No,587
37,Hospital_37,Kolhapur,Multi-Speciality,1.32,4.3,406,Yes,1787
38,Hospital_38,Nashik,Cardiac,5.1,3.7,499,Yes,1274
39,Hospital_39,Kolhapur,General,7.84,3.2,378,No,1884
40,Hospital_40,Mumbai,Children,18.94,4.2,231,No,571
41,Hospital_41,Mumbai,Cardiac,10.14,4.2,314,Yes,1380
42,Hospital_42,Aurangabad,Multi-Speciality,1.34,4.1,401,No,327
43,Hospital_43,Aurangabad,Emergency,3.15,2.9,163,Yes,313
