UserID,Age,Action,Comedy,Drama,SciFi,MovieRating
1,22,5,3,2,4,4.5
2,25,4,4,3,5,4.2
3,28,2,5,4,3,3.8
4,30,5,2,3,5,4.7
5,35,3,4,5,2,3.9
6,40,4,3,4,4,4.1
7,27,5,2,2,5,4.8
8,32,3,5,4,3,3.7
9,29,4,4,3,4,4.0
10,45,2,5,5,2,3.5
11,24,5,3,2,5,4.6
12,38,3,4,5,3,3.8
13,26,4,4,3,4,4.3
14,31,5,2,3,5,4.9
15,36,2,5,5,2,3.6
16,41,4,3,4,4,4.0
17,23,5,2,2,5,4.7
18,34,3,5,4,3,3.9
19,28,4,4,3,4,4.1
20,42,2,5,5,2,3.4
21,21,5,4,2,5,4.8
22,26,4,5,3,4,4.4
23,33,3,4,5,3,3.9
24,37,5,2,4,5,4.7
25,29,4,3,3,4,4.2
26,44,2,5,5,2,3.5
27,25,5,3,2,5,4.6
28,30,4,4,3,4,4.3
29,39,3,5,4,3,3.8
30,47,2,5,5,2,3.4
31,22,5,3,2,4,4.5
32,25,4,4,3,5,4.2
33,28,2,5,4,3,3.8
34,30,5,2,3,5,4.7
35,35,3,4,5,2,3.9
36,40,4,3,4,4,4.1
37,27,5,2,2,5,4.8
38,32,3,5,4,3,3.7
39,29,4,4,3,4,4.0
40,45,2,5,5,2,3.5
41,24,5,3,2,5,4.6
42,38,3,4,5,3,3.8
43,26,4,4,3,4,4.3
44,31,5,2,3,5,4.9
45,36,2,5,5,2,3.6
46,41,4,3,4,4,4.0
47,23,5,2,2,5,4.7
48,34,3,5,4,3,3.9
49,28,4,4,3,4,4.1
50,42,2,5,5,2,3.4
51,21,5,4,2,5,4.8
52,26,4,5,3,4,4.4
53,33,3,4,5,3,3.9
54,37,5,2,4,5,4.7
55,29,4,3,3,4,4.2
56,44,2,5,5,2,3.5
57,25,5,3,2,5,4.6
58,30,4,4,3,4,4.3
59,39,3,5,4,3,3.8
60,47,2,5,5,2,3.4
61,22,5,3,2,4,4.5
62,25,4,4,3,5,4.2
63,28,2,5,4,3,3.8
64,30,5,2,3,5,4.7
65,35,3,4,5,2,3.9
66,40,4,3,4,4,4.1
67,27,5,2,2,5,4.8
68,32,3,5,4,3,3.7
69,29,4,4,3,4,4.0
70,45,2,5,5,2,3.5
71,24,5,3,2,5,4.6
72,38,3,4,5,3,3.8
73,26,4,4,3,4,4.3
74,31,5,2,3,5,4.9
75,36,2,5,5,2,3.6
76,41,4,3,4,4,4.0
77,23,5,2,2,5,4.7
78,34,3,5,4,3,3.9
79,28,4,4,3,4,4.1
80,42,2,5,5,2,3.4
81,21,5,4,2,5,4.8
82,26,4,5,3,4,4.4
83,33,3,4,5,3,3.9
84,37,5,2,4,5,4.7
85,29,4,3,3,4,4.2
86,44,2,5,5,2,3.5
87,25,5,3,2,5,4.6
88,30,4,4,3,4,4.3
89,39,3,5,4,3,3.8
90,47,2,5,5,2,3.4
91,22,5,3,2,4,4.5
92,25,4,4,3,5,4.2
93,28,2,5,4,3,3.8
94,30,5,2,3,5,4.7
95,35,3,4,5,2,3.9
96,40,4,3,4,4,4.1
97,27,5,2,2,5,4.8
98,32,3,5,4,3,3.7
99,29,4,4,3,4,4.0
100,45,2,5,5,2,3.5
