CustomerID,Gender,AgeGroup,MaritalStatus,Education,Occupation,IncomeLevel,Region,ShoppingFrequency,PreferredChannel,PurchaseCategory
1,Male,18-25,Married,Graduate,Student,Low,Rural,Weekly,Online,HomeDecor
2,Male,18-25,Single,Graduate,Student,High,Rural,Weekly,Online,HomeDecor
3,Male,46-55,Married,Graduate,Student,High,Semiurban,Monthly,Store,Fashion
4,Male,36-45,Single,Graduate,Professional,Low,Semiurban,Monthly,Store,Electronics
5,Female,18-25,Married,Graduate,Business,Medium,Rural,Monthly,Online,Electronics
6,Male,26-35,Married,Graduate,Student,Low,Semiurban,Monthly,Store,Grocery
7,Male,36-45,Married,Graduate,Business,Medium,Rural,Weekly,Online,Fashion
8,Male,46-55,Married,Postgraduate,Business,High,Rural,Weekly,Store,Electronics
9,Male,18-25,Married,Postgraduate,Professional,Low,Urban,Monthly,Online,HomeDecor
10,Female,46-55,Single,Postgraduate,Student,Low,Rural,Monthly,Store,HomeDecor
11,Female,26-35,Single,Postgraduate,Student,Low,Urban,Weekly,Online,HomeDecor
12,Male,46-55,Married,Postgraduate,Business,Medium,Rural,Weekly,Online,Grocery
13,Female,18-25,Married,Postgraduate,Student,Medium,Urban,Monthly,Online,Electronics
14,Female,26-35,Single,Postgraduate,Student,High,Rural,Weekly,Store,HomeDecor
15,Male,18-25,Married,Postgraduate,Student,Low,Urban,Weekly,Online,HomeDecor
16,Male,26-35,Single,Postgraduate,Business,Low,Semiurban,Monthly,Online,Fashion
17,Female,46-55,Married,Postgraduate,Business,Medium,Urban,Weekly,Online,Electronics
18,Female,18-25,Single,Graduate,Student,Low,Rural,Weekly,Online,Electronics
19,Male,36-45,Single,Graduate,Professional,High,Semiurban,Weekly,Online,HomeDecor
20,Male,46-55,Married,Graduate,Student,Low,Rural,Monthly,Store,HomeDecor
21,Female,46-55,Single,Graduate,Student,Medium,Rural,Monthly,Online,Fashion
22,Male,26-35,Married,Graduate,Professional,Low,Semiurban,Monthly,Online,Electronics
23,Female,18-25,Single,Graduate,Student,Low,Urban,Monthly,Store,HomeDecor
24,Male,46-55,Single,Graduate,Professional,Low,Semiurban,Monthly,Store,Grocery
25,Female,46-55,Single,Graduate,Professional,Low,Urban,Weekly,Store,Electronics
26,Male,46-55,Single,Graduate,Business,Low,Urban,Weekly,Online,Fashion
27,Female,18-25,Single,Graduate,Business,Low,Semiurban,Monthly,Store,Fashion
28,Female,26-35,Married,Postgraduate,Student,High,Rural,Monthly,Store,Grocery
29,Male,18-25,Married,Graduate,Student,High,Urban,Monthly,Online,Grocery
30,Male,26-35,Married,Postgraduate,Student,Medium,Rural,Monthly,Online,Grocery
31,Male,26-35,Married,Graduate,Student,High,Rural,Weekly,Store,Grocery
32,Male,36-45,Single,Postgraduate,Business,Medium,Semiurban,Weekly,Online,HomeDecor
33,Female,18-25,Single,Postgraduate,Student,High,Semiurban,Weekly,Store,HomeDecor
