Rainfall,Temperature,Soil_pH,Fertilizer_Used,Humidity,Crop_Yield
764,24,6.8,116,71,5.3
754,32,5.9,139,65,5.3
873,27,6.5,88,70,5.6
1079,27,6.4,120,64,6.2
813,30,6.3,104,70,5.8
994,25,5.9,97,75,6.1
920,24,6.8,153,67,6.4
1037,25,6.6,165,75,6.6
721,24,6.7,122,66,5.6
753,30,6.2,166,75,5.8
1013,27,6.7,174,66,6.5
825,32,6.8,105,78,5.6
874,29,7.0,92,71,5.7
973,30,6.2,112,74,5.8
1161,30,7.0,167,78,6.6
792,27,6.8,153,72,6.0
1088,33,6.4,113,68,6.1
743,24,7.0,104,69,5.5
1082,33,5.9,133,78,6.4
661,25,6.8,153,72,5.8
998,25,6.2,105,78,5.7
919,32,6.9,149,67,6.3
955,32,6.7,104,75,6.0
1193,24,6.6,147,64,6.3
1021,28,6.1,115,66,5.7
1147,25,7.2,153,68,6.3
1136,32,6.0,152,77,6.9
855,28,6.4,170,75,6.2
1179,31,6.0,113,66,6.2
885,33,6.1,94,65,5.3
682,29,5.9,115,72,5.5
869,32,6.0,158,79,6.0
1134,30,6.1,97,77,6.1
1070,31,7.0,91,67,5.6
997,25,6.1,109,78,5.8
837,28,6.4,94,78,5.8
750,24,6.7,154,64,6.0
892,26,6.4,146,70,6.2
710,26,6.3,134,72,5.8
1115,28,6.4,178,79,6.6
953,27,7.2,159,65,6.3
708,24,6.6,149,80,5.6
1170,25,7.0,93,66,6.2
890,30,6.0,157,71,6.1
690,33,5.9,169,80,5.8
917,27,6.7,125,71,5.8
784,28,6.4,94,64,5.3
752,25,6.6,149,72,5.6
1007,25,7.0,132,73,6.0
959,33,7.2,168,80,6.2
956,25,7.1,102,72,5.6
759,32,6.0,121,70,5.7
858,28,6.5,117,65,5.4
1083,28,5.9,127,68,6.3
918,26,6.8,155,77,6.3
764,25,7.1,173,68,6.0
1028,33,6.6,140,68,5.9
1023,24,7.1,111,71,6.1
1012,32,7.0,137,68,6.4
892,26,7.2,107,77,5.5
990,30,6.9,179,71,6.3
760,30,7.0,145,71,5.6
1121,29,6.2,114,71,5.9
847,30,6.3,93,72,5.4
1171,30,6.8,153,74,6.9
768,28,6.0,118,65,5.2
1094,29,6.8,125,77,6.4
1173,25,6.3,158,70,6.5
1096,24,6.5,153,70,6.4
721,29,6.7,169,67,5.9
957,32,6.2,137,74,6.1
952,32,6.0,138,76,6.3
828,33,6.6,136,64,5.6
865,30,6.9,162,74,6.1
1102,27,6.5,179,69,6.8
940,32,6.7,164,74,6.1
890,28,6.1,110,68,5.4
900,31,6.7,94,78,5.7
849,30,6.5,116,68,5.7
655,25,6.9,113,69,5.4
1180,31,5.9,116,67,6.3
1125,32,7.2,161,74,6.9
1103,33,6.9,149,77,6.8
1106,26,6.8,145,78,6.4
903,28,6.9,151,79,6.3
931,31,5.9,121,71,5.8
977,32,5.9,104,71,5.8
806,27,5.9,137,74,5.8
1075,24,6.1,138,76,6.6
670,33,6.3,85,75,5.0
1049,30,6.6,179,71,6.6
929,30,6.5,134,74,6.1
1064,26,7.0,101,64,6.1
677,25,6.7,102,78,5.1
916,30,6.3,143,74,6.0
1038,28,6.9,138,72,6.5
1131,24,6.8,91,75,5.9
720,24,6.9,116,70,5.6
806,27,6.0,170,67,6.0
873,31,6.8,132,69,5.9
