Date,ProductID,StoreID,UnitsSold,Price,Discount,MarketingSpend,Holiday,DayOfWeek,Month,Demand
2023-01-01,1051,15,122,1490.79,20,7265,0,6,1,122.3
2023-01-02,1021,2,113,1471.8,29,3433,0,0,1,113.4
2023-01-03,1020,1,133,678.06,21,7396,0,1,1,133.58
2023-01-04,1041,16,309,542.27,46,36773,0,2,1,309.78
2023-01-05,1054,3,175,1733.89,6,31740,0,3,1,175.76
2023-01-06,1089,2,257,1400.04,46,24483,0,4,1,257.61
2023-01-07,1007,15,216,429.39,16,27531,0,5,1,216.6
2023-01-08,1053,10,341,1178.63,28,46758,0,6,1,341.46
2023-01-09,1043,2,309,850.79,35,33606,1,0,1,309.86
2023-01-10,1079,13,186,615.56,23,13185,1,1,1,186.6
2023-01-11,1059,13,353,367.76,14,49984,1,2,1,353.8
2023-01-12,1087,11,145,477.8,7,14986,0,3,1,145.49
2023-01-13,1004,10,233,781.08,40,23662,0,4,1,233.73
2023-01-14,1022,5,166,1486.25,39,11965,0,5,1,166.98
2023-01-15,1064,3,235,327.23,13,28266,0,6,1,235.74
2023-01-16,1026,9,206,1450.26,25,24419,0,0,1,206.47
2023-01-17,1062,7,243,1003.2,31,23403,1,1,1,243.61
2023-01-18,1042,4,73,1891.42,6,10914,0,2,1,73.79
2023-01-19,1027,2,210,1286.27,5,30467,0,3,1,210.33
2023-01-20,1091,7,36,1822.97,0,2306,0,4,1,36.83
2023-01-21,1076,9,190,679.08,5,22959,0,5,1,190.66
2023-01-22,1043,15,268,419.75,31,31303,0,6,1,268.59
2023-01-23,1051,17,300,223.3,11,45417,0,0,1,300.2
2023-01-24,1095,1,147,1305.27,1,22556,0,1,1,147.83
2023-01-25,1031,6,231,559.91,3,33970,0,2,1,231.93
2023-01-26,1068,2,275,1303.71,10,45542,0,3,1,275.45
2023-01-27,1096,9,128,709.48,5,16708,0,4,1,128.38
2023-01-28,1089,3,77,1638.05,19,3911,0,5,1,77.97
2023-01-29,1032,8,130,834.8,17,12111,0,6,1,130.03
2023-01-30,1022,10,265,590.09,15,32065,1,0,1,265.3
2023-01-31,1059,17,387,559.52,47,48357,0,1,1,387.19
2023-02-01,1008,9,164,763.5,47,2154,0,2,2,164.64
2023-02-02,1053,1,238,1319.86,10,33711,0,3,2,238.02
2023-02-03,1088,3,320,1949.96,17,47975,0,4,2,320.08
2023-02-04,1065,3,261,1338.73,40,29643,0,5,2,261.25
2023-02-05,1019,8,82,1713.52,16,5735,0,6,2,82.42
2023-02-06,1075,19,122,1309.03,21,7893,0,0,2,122.49
2023-02-07,1007,2,324,765.15,32,40790,0,1,2,324.1
2023-02-08,1068,16,347,633.47,34,45080,0,2,2,347.94
2023-02-09,1045,6,337,803.3,40,34828,1,3,2,337.3
2023-02-10,1045,3,242,1962.63,20,36743,0,4,2,242.52
2023-02-11,1024,10,206,1878.69,2,35663,0,5,2,206.93
2023-02-12,1031,15,126,1981.1,1,17538,0,6,2,126.22
2023-02-13,1008,11,143,1446.93,38,6801,0,0,2,143.89
2023-02-14,1098,18,192,1747.44,12,24355,0,1,2,192.52
2023-02-15,1064,8,128,1433.74,15,11893,0,2,2,128.18
2023-02-16,1086,15,103,813.61,1,11966,0,3,2,103.74
2023-02-17,1061,17,223,170.96,5,30749,0,4,2,223.1
2023-02-18,1096,8,394,1562.99,43,49747,0,5,2,394.69
2023-02-19,1054,8,271,1479.57,12,38233,0,6,2,271.33
2023-02-20,1029,19,210,1610.85,18,29251,0,0,2,210.03
2023-02-21,1061,9,73,1408.15,0,2081,1,1,2,73.78
2023-02-22,1033,16,414,447.45,44,46952,1,2,2,414.9
2023-02-23,1021,3,124,570.69,15,4506,0,3,2,124.95
2023-02-24,1056,14,219,274.42,46,14296,0,4,2,219.82
2023-02-25,1093,5,154,857.16,9,15069,0,5,2,154.49
2023-02-26,1033,10,316,1289.13,31,42975,0,6,2,316.39
2023-02-27,1031,12,140,837.52,32,5000,0,0,2,140.18
2023-02-28,1042,5,231,1289.29,0,39304,0,1,2,231.36
2023-03-01,1011,14,335,134.62,49,35850,0,2,3,335.88
2023-03-02,1089,8,125,832.25,9,10817,0,3,3,125.16
2023-03-03,1057,18,125,1294.99,28,8543,0,4,3,125.65
2023-03-04,1020,4,260,437.14,8,36735,0,5,3,260.72
2023-03-05,1081,17,236,1575.18,23,24190,1,6,3,236.62
2023-03-06,1036,12,310,915.09,12,44286,0,0,3,310.18
2023-03-07,1085,13,204,1801.49,48,14923,0,1,3,204.8
2023-03-08,1018,12,185,774.32,27,18101,0,2,3,185.6
2023-03-09,1015,5,234,657.1,24,32667,0,3,3,234.55
2023-03-10,1099,16,252,1600.27,44,25244,0,4,3,252.97
2023-03-11,1004,3,238,1786.64,42,25394,0,5,3,238.47
2023-03-12,1075,9,167,1546.87,43,8056,0,6,3,167.79
2023-03-13,1041,9,128,1661.53,1,18924,0,0,3,128.32
2023-03-14,1037,19,273,1204.48,44,27432,0,1,3,273.97
2023-03-15,1044,4,290,765.41,30,35578,0,2,3,290.71
2023-03-16,1053,7,244,906.02,25,29178,0,3,3,244.75
2023-03-17,1091,8,363,323.3,40,43918,0,4,3,363.08
2023-03-18,1076,17,303,257.49,32,38797,0,5,3,303.87
2023-03-19,1079,11,243,1846.32,35,26826,0,6,3,243.19
2023-03-20,1056,18,369,415.81,48,39413,0,0,3,369.12
2023-03-21,1074,12,166,1921.53,15,22447,0,1,3,166.79
2023-03-22,1023,8,311,422.39,35,37487,0,2,3,311.4
2023-03-23,1040,4,259,1973.8,16,39088,0,3,3,259.47
2023-03-24,1083,13,278,1400.99,28,28532,1,4,3,278.06
2023-03-25,1065,10,298,1872.18,49,30548,0,5,3,298.06
2023-03-26,1032,1,376,1012.7,46,48280,0,6,3,376.99
2023-03-27,1058,17,173,1692.82,33,11344,0,0,3,173.23
2023-03-28,1000,16,219,243.18,27,19384,0,1,3,219.25
2023-03-29,1022,5,226,1479.63,9,33201,0,2,3,226.35
2023-03-30,1084,14,294,489.59,0,46106,0,3,3,294.07
2023-03-31,1031,2,143,780.51,7,15489,0,4,3,143.26
2023-04-01,1053,3,297,1088.31,11,43944,0,5,4,297.54
2023-04-02,1056,17,235,354.63,46,16254,0,6,4,235.16
2023-04-03,1084,14,199,1437.75,38,16781,0,0,4,199.01
2023-04-04,1081,15,210,931.2,33,18715,0,1,4,210.68
2023-04-05,1096,15,365,853.43,41,44088,1,2,4,365.66
2023-04-06,1087,5,56,1962.06,1,5300,0,3,4,56.02
2023-04-07,1042,16,217,748.97,46,18144,0,4,4,217.42
2023-04-08,1015,8,297,442.13,3,43679,0,5,4,297.87
2023-04-09,1095,3,169,1078.95,31,11161,0,6,4,169.71
2023-04-10,1081,10,297,436.32,20,40749,0,0,4,297.05
2023-04-11,1011,14,207,792.11,13,27329,0,1,4,207.13
2023-04-12,1093,11,218,1849.66,16,30721,0,2,4,218.07
2023-04-13,1007,17,100,1234.83,14,1302,0,3,4,100.88
2023-04-14,1086,14,335,978.82,44,40577,0,4,4,335.52
2023-04-15,1055,19,212,1455.36,46,18302,0,5,4,212.0
2023-04-16,1037,3,296,854.61,24,39518,0,6,4,296.61
2023-04-17,1073,7,182,711.95,38,7229,0,0,4,182.1
2023-04-18,1066,9,184,1047.04,46,7371,0,1,4,184.05
2023-04-19,1033,15,245,1516.34,48,24275,0,2,4,245.61
2023-04-20,1025,2,370,564.27,44,48045,0,3,4,370.43
2023-04-21,1032,6,287,794.18,47,28139,0,4,4,287.87
2023-04-22,1074,4,408,110.07,48,47685,0,5,4,408.62
2023-04-23,1050,2,297,1157.85,7,49153,0,6,4,297.3
2023-04-24,1067,19,291,479.06,19,37976,0,0,4,291.33
2023-04-25,1000,14,168,648.4,36,2917,0,1,4,168.78
2023-04-26,1032,6,142,739.55,9,17644,0,2,4,142.64
2023-04-27,1043,2,243,712.47,1,35387,0,3,4,243.07
2023-04-28,1074,15,269,995.99,34,29253,0,4,4,269.38
2023-04-29,1068,12,107,876.18,10,6256,0,5,4,107.76
2023-04-30,1063,8,261,1673.09,36,31523,0,6,4,261.58
2023-05-01,1084,5,297,1647.69,13,41345,1,0,5,297.97
2023-05-02,1017,8,247,958.7,39,29173,0,1,5,247.62
2023-05-03,1037,1,106,1520.46,14,10184,0,2,5,106.12
2023-05-04,1077,8,148,535.15,38,2970,0,3,5,148.38
2023-05-05,1066,7,226,1488.04,41,22951,0,4,5,226.87
2023-05-06,1093,7,161,1188.99,28,11789,0,5,5,161.71
2023-05-07,1026,1,260,163.71,21,33265,0,6,5,260.99
2023-05-08,1012,15,282,1708.26,23,41631,0,0,5,282.6
2023-05-09,1007,5,229,1024.08,3,36659,0,1,5,229.09
2023-05-10,1035,4,260,1460.74,26,35884,0,2,5,260.85
2023-05-11,1073,8,66,1208.44,7,1814,0,3,5,66.52
2023-05-12,1061,18,264,1261.76,46,27215,0,4,5,264.97
2023-05-13,1075,12,235,1173.75,3,39727,0,5,5,235.13
2023-05-14,1008,19,172,1499.24,39,4368,1,6,5,172.87
2023-05-15,1022,1,280,315.15,20,37185,0,0,5,280.18
2023-05-16,1039,15,122,858.11,8,10524,0,1,5,122.4
2023-05-17,1051,9,295,317.11,24,35393,1,2,5,295.72
2023-05-18,1033,17,181,1215.43,43,14490,0,3,5,181.19
2023-05-19,1024,7,352,414.48,23,47240,0,4,5,352.4
2023-05-20,1027,18,115,1360.72,6,5944,1,5,5,115.77
2023-05-21,1048,8,44,1054.17,0,2759,0,6,5,44.89
2023-05-22,1082,17,162,169.44,29,8311,0,0,5,162.91
2023-05-23,1017,1,264,1573.5,46,29865,0,1,5,264.22
2023-05-24,1050,4,168,445.66,28,13342,1,2,5,168.11
2023-05-25,1031,10,420,614.41,45,48190,1,3,5,420.88
2023-05-26,1066,8,145,297.81,46,4300,0,4,5,145.8
2023-05-27,1096,15,320,1469.54,34,35911,1,5,5,320.66
