TransactionID,CustomerAge,TransactionAmount,TransactionType,AccountBalance,LocationRisk,DeviceRisk,TransactionTime,Fraud
1,56,398291.84,Transfer,733333.97,1,0,18,0
2,40,29136.0,ATM,337040.07,1,0,20,0
3,19,361027.19,POS,216277.42,1,0,11,0
4,39,3632.45,Online,294772.99,2,0,15,0
5,32,228089.39,Transfer,620294.08,1,1,2,1
6,54,303811.67,Online,453246.76,1,1,13,1
7,67,192769.71,POS,102183.75,2,0,6,0
8,61,247638.94,Transfer,177497.83,1,0,3,1
9,19,212635.42,POS,548976.73,1,1,11,1
10,51,197635.6,ATM,599910.48,3,0,22,0
11,74,480589.89,Online,391733.9,1,1,12,1
12,58,148207.13,Online,79177.89,3,0,11,0
13,25,2860.51,Transfer,202848.19,2,0,4,0
14,59,179297.02,Online,915384.88,3,0,0,1
15,65,185472.04,POS,328557.41,2,0,2,1
16,18,191525.14,Transfer,714678.56,2,0,13,0
17,56,20312.75,Transfer,430403.31,1,0,6,0
18,66,157246.55,ATM,697038.51,1,0,14,0
19,60,101610.31,Online,81595.01,1,0,1,1
20,59,404079.38,Online,109966.79,1,0,19,0
21,47,441651.8,ATM,808402.95,3,0,0,1
22,18,114044.79,POS,5517.78,1,0,5,0
23,25,267091.3,POS,225997.27,1,0,14,0
24,71,109460.23,ATM,704503.86,1,1,19,0
25,29,125965.97,POS,713709.24,1,1,16,0
26,19,251389.24,POS,37885.48,1,0,1,1
27,70,244777.43,ATM,555128.62,1,0,23,0
28,34,364135.35,ATM,472949.13,3,0,15,1
29,33,417667.72,ATM,510657.78,2,1,3,1
30,36,355603.65,Transfer,230363.3,2,0,0,1
31,57,193429.0,POS,838521.56,2,0,17,0
32,40,270769.84,POS,261651.92,2,1,19,1
33,66,121001.96,ATM,965592.25,1,1,22,0
34,26,139507.79,Transfer,727325.9,3,1,23,0
35,50,321051.62,Transfer,935956.82,2,0,2,1
36,65,50825.62,Transfer,973795.52,1,0,1,0
37,71,224267.23,Online,228147.96,2,0,20,0
38,65,373271.05,ATM,745449.67,2,0,15,0
