StudentID,StudyHours,Attendance,AssignmentScore,ExamScore
1,4.4,84.9,76.9,79.0
2,9.6,76.8,90.7,99.7
3,7.6,65.5,87.5,86.9
4,6.4,90.7,89.5,96.4
5,2.4,84.2,69.6,64.8
6,2.4,58.1,65.7,48.4
7,1.5,95.5,69.8,63.4
8,8.8,91.1,99.7,100.0
9,6.4,97.5,87.8,92.5
10,7.4,86.3,81.6,85.8
11,1.2,80.7,62.7,61.3
12,9.7,70.9,97.4,100.0
13,8.5,96.6,98.8,100.0
14,2.9,93.3,65.0,79.2
15,2.6,52.3,54.4,51.9
16,2.7,51.3,65.2,51.7
17,3.7,68.8,68.7,69.3
18,5.7,90.5,86.7,87.7
19,4.9,99.4,82.0,91.6
20,3.6,57.5,65.7,60.6
21,6.5,79.7,88.9,83.7
22,2.3,69.0,60.0,62.4
23,3.6,98.5,76.3,82.5
24,4.3,92.1,75.1,79.4
25,5.1,91.9,78.8,88.5
26,8.1,73.4,88.3,87.2
27,2.8,70.7,66.4,62.2
28,5.6,63.7,73.7,72.5
29,6.3,52.8,82.8,75.7
30,1.4,93.2,60.1,70.1
31,6.5,90.6,86.0,92.7
32,2.5,100.0,69.1,81.8
33,1.6,99.8,74.4,79.9
34,9.5,77.8,98.2,100.0
35,9.7,88.4,100.0,100.0
36,8.3,97.2,89.2,100.0
37,3.7,92.5,76.1,75.5
38,1.9,62.4,63.6,52.1
39,7.2,72.5,85.9,83.2
40,5.0,56.5,77.0,65.6
41,2.1,97.7,66.3,75.1
42,5.5,80.3,86.9,83.8
43,1.3,61.4,67.7,49.8
44,9.2,83.6,95.5,100.0
45,3.3,80.9,67.8,70.5
46,7.0,67.9,90.7,74.6
47,3.8,55.7,73.9,56.1
48,5.7,83.6,78.9,83.6
49,5.9,76.0,78.4,75.9
50,2.7,88.6,67.9,74.4
51,9.7,76.0,90.9,100.0
52,8.0,92.6,89.6,100.0
53,9.5,77.6,92.1,99.5
54,9.1,78.0,91.6,100.0
55,6.4,93.8,87.1,95.0
56,9.3,70.2,95.6,94.1
57,1.8,56.7,65.0,47.7
58,2.8,51.4,55.5,51.0
59,1.4,87.8,68.2,63.7
60,3.9,81.0,71.7,74.2
61,4.5,85.2,76.3,79.8
62,3.4,60.6,68.8,60.0
63,8.5,56.8,81.8,85.8
64,4.2,50.7,68.5,64.1
65,3.5,67.5,68.5,67.7
66,5.9,79.5,83.9,77.1
67,2.3,69.6,64.2,48.7
68,8.2,71.9,100.0,94.8
69,1.7,95.2,63.3,65.7
70,9.9,67.4,93.7,96.0
71,8.0,75.7,86.8,86.8
72,2.8,89.2,67.1,65.6
73,1.0,69.8,53.8,54.4
74,8.3,81.1,98.6,99.7
75,7.4,93.1,98.7,97.2
76,7.6,97.5,90.7,92.7
77,7.9,57.4,80.7,79.1
78,1.7,96.3,69.1,73.7
79,4.2,74.6,69.8,65.3
80,2.0,62.9,62.9,54.7
81,8.8,73.0,93.9,94.3
82,6.6,99.0,81.9,100.0
83,4.0,74.6,79.4,71.2
84,1.6,66.4,67.8,50.2
85,3.8,81.7,69.5,78.1
86,3.9,62.0,66.1,62.3
87,7.6,53.8,84.1,78.2
88,6.7,56.4,80.9,71.1
89,9.0,56.4,92.9,85.1
90,5.2,57.6,82.9,64.6
91,2.1,56.9,57.8,50.7
92,7.4,82.0,84.8,98.8
93,7.8,59.1,78.0,76.0
94,6.1,67.3,75.6,70.5
95,7.9,94.8,94.1,100.0
96,5.4,73.7,86.7,76.6
97,5.7,83.4,78.9,81.4
98,4.8,58.6,72.4,70.2
99,1.2,59.6,55.2,45.7
100,2.0,52.0,62.9,56.2
101,1.3,58.4,68.1,51.4
102,6.7,63.9,78.5,76.4
103,3.8,58.9,64.4,69.5
104,5.6,54.4,79.0,66.0
105,9.2,56.0,93.8,90.8
106,3.2,73.0,76.9,67.0
107,4.7,60.3,74.1,71.7
108,7.8,68.2,85.4,92.6
109,3.1,75.2,70.7,66.3
110,1.7,84.5,69.3,61.7
111,3.6,52.0,68.3,58.8
112,2.5,90.0,71.3,69.4
113,9.4,81.4,100.0,100.0
114,8.3,54.1,91.7,82.9
115,6.7,93.7,95.5,94.8
116,8.8,96.0,100.0,100.0
117,8.2,53.1,84.3,75.6
118,2.7,63.8,63.8,54.0
119,9.0,90.3,100.0,100.0
120,5.9,87.4,79.3,84.9
121,8.3,59.2,89.0,80.3
122,9.1,60.5,89.1,91.3
123,3.9,68.5,69.8,71.2
124,2.0,74.2,68.9,63.1
125,3.1,80.9,70.1,73.4
126,4.8,68.4,73.9,68.0
127,8.4,73.1,84.3,86.2
128,8.7,87.4,99.7,100.0
129,1.1,51.8,56.1,42.8
130,5.6,62.6,86.7,71.7
131,4.8,85.7,76.5,86.2
132,3.0,94.8,73.3,79.9
133,2.1,75.6,64.6,63.1
134,4.0,76.6,80.0,80.5
135,9.5,55.4,91.1,86.3
136,3.9,72.4,72.0,72.4
137,5.7,76.6,82.8,80.6
138,7.3,62.1,84.3,81.8
139,4.3,63.5,68.0,71.9
140,9.7,68.9,96.8,98.8
141,9.7,51.0,96.8,90.4
142,3.3,66.1,61.2,66.1
143,5.5,60.6,75.6,69.2
144,3.7,66.4,64.7,60.8
145,3.6,56.0,71.2,54.7
146,1.3,94.5,56.9,60.6
147,6.5,79.7,81.4,94.2
148,5.5,84.0,82.6,79.2
149,1.5,89.5,72.0,66.1
150,3.5,74.9,69.1,66.8
151,9.2,54.3,87.2,87.9
152,3.2,76.9,78.0,71.3
153,2.3,79.3,57.9,67.4
154,5.4,87.3,70.1,82.2
155,9.9,71.6,99.7,98.7
156,3.2,56.4,61.0,57.8
157,7.0,64.2,77.4,78.9
158,7.9,68.2,91.1,93.6
159,3.1,82.3,70.7,72.2
160,7.6,78.5,86.0,93.9
161,4.3,67.8,64.9,70.5
162,6.7,99.3,94.3,100.0
163,6.7,80.3,88.5,88.4
164,5.8,61.9,76.1,67.6
165,1.8,55.1,66.1,51.1
166,8.5,57.6,82.3,81.8
167,3.9,62.3,60.5,60.7
168,2.7,58.0,58.2,57.2
169,1.4,59.3,55.9,54.0
170,6.3,64.3,80.6,76.7
171,7.1,58.7,80.4,79.1
172,1.1,94.8,65.4,74.9
173,5.6,54.0,67.4,68.6
174,3.0,76.2,74.8,76.9
175,6.8,70.5,82.8,84.7
176,2.6,99.1,77.1,71.8
177,7.2,55.6,83.0,80.1
178,4.5,69.9,75.0,71.9
179,9.4,98.5,100.0,100.0
180,2.2,93.3,70.5,75.4
181,4.1,90.9,79.4,80.3
182,2.0,62.9,66.4,49.3
183,9.3,58.5,92.5,88.6
184,8.9,83.4,99.4,97.6
185,3.3,96.5,73.5,78.0
186,6.9,77.8,92.7,89.8
187,8.4,78.6,89.1,100.0
188,6.0,64.0,87.0,76.9
189,5.8,88.5,83.0,83.1
190,3.2,59.4,57.1,59.6
191,1.8,66.2,60.3,59.4
192,9.1,71.3,90.4,92.3
193,9.1,75.4,99.0,96.9
194,6.7,62.1,77.4,77.4
195,4.1,55.7,65.1,57.8
196,4.1,80.5,64.1,76.4
197,7.5,64.4,82.6,82.3
198,9.1,79.1,83.6,100.0
199,9.0,57.7,82.0,83.4
200,8.0,74.1,93.3,89.1
201,6.8,76.6,88.7,89.0
202,1.8,52.6,58.4,46.5
203,2.5,66.8,58.1,65.1
204,9.1,56.7,89.9,85.8
205,6.5,53.2,77.5,73.1
206,1.1,99.5,59.0,74.6
207,1.9,66.1,67.6,49.7
208,7.0,90.5,93.5,88.6
209,1.0,62.7,54.1,42.5
210,2.4,84.1,67.0,72.8
211,5.9,88.0,84.6,86.0
212,7.2,79.8,77.1,99.6
213,6.9,73.6,83.2,82.4
214,3.0,70.6,62.7,63.6
215,7.4,67.4,80.1,89.8
216,3.1,96.5,71.7,87.3
217,3.9,91.5,84.4,88.8
218,7.7,98.3,97.4,100.0
219,6.8,56.2,76.8,79.1
220,8.6,86.5,98.2,100.0
221,6.9,96.9,97.3,100.0
222,6.1,59.1,81.8,71.0
223,1.8,53.3,56.7,44.9
224,4.3,87.1,72.9,79.1
225,3.4,78.7,73.5,69.1
226,3.2,92.1,74.4,75.2
227,9.8,57.0,97.8,94.3
228,4.5,89.8,80.9,86.0
229,9.0,60.1,95.8,89.2
230,6.7,58.2,77.0,81.4
231,8.2,58.2,93.0,79.2
232,5.5,90.7,83.4,87.1
233,6.2,83.3,94.1,84.4
234,5.4,76.2,74.9,70.8
235,2.8,67.9,73.3,60.6
236,7.5,93.9,93.2,99.8
237,3.5,69.6,64.9,70.9
238,1.2,90.8,60.7,68.3
239,6.8,72.0,82.0,79.1
240,2.6,68.8,66.0,67.5
241,9.5,73.1,98.6,100.0
242,9.6,65.1,91.6,96.4
243,9.2,87.4,98.1,100.0
244,4.3,75.1,83.8,68.8
245,1.1,61.6,64.0,47.6
246,9.4,95.0,100.0,100.0
247,4.9,69.2,74.5,79.5
248,9.7,77.2,98.6,100.0
249,9.7,95.3,100.0,100.0
250,8.7,81.2,89.3,93.8
251,3.7,55.8,64.3,59.5
252,4.5,97.0,71.2,79.3
253,8.7,81.4,96.5,100.0
254,3.9,66.7,72.5,65.1
255,2.5,57.0,58.1,51.5
256,6.0,89.7,92.3,83.7
257,9.4,81.0,91.4,100.0
258,7.3,76.7,79.7,86.0
259,6.1,94.7,87.2,88.9
260,1.9,89.4,71.1,57.3
261,6.5,57.6,87.1,74.6
262,9.9,65.6,93.7,100.0
263,2.3,62.4,66.3,62.0
264,5.7,87.2,82.3,84.7
265,8.9,51.7,87.1,81.6
266,7.7,78.5,93.7,93.8
267,7.3,88.1,93.1,91.6
268,7.3,93.8,83.4,99.9
269,4.2,67.1,78.1,70.7
270,3.6,91.1,80.9,83.5
271,8.3,55.5,83.1,82.1
272,8.3,92.3,97.4,100.0
273,8.8,56.4,91.2,82.3
274,9.2,69.9,95.2,91.4
275,5.6,89.9,79.9,86.7
276,5.5,57.5,70.8,70.4
