Date,Open,High,Low,Close,Volume
2022-01-03,100.34,100.94,99.88,100.0,190183
2022-01-04,101.79,102.34,99.4,100.94,153986
2022-01-05,101.3,101.42,100.05,100.74,375897
2022-01-06,102.0,102.65,101.63,101.97,163783
2022-01-07,104.41,105.07,102.83,104.81,261655
2022-01-10,104.86,106.45,103.96,104.43,333895
2022-01-11,104.28,104.46,102.93,104.04,197525
2022-01-12,107.62,107.62,106.63,107.05,266916
2022-01-13,108.99,109.71,107.23,108.58,482184
2022-01-14,108.39,108.97,106.78,107.72,211149
2022-01-17,108.47,109.64,108.06,108.82,289654
2022-01-18,108.82,110.22,107.89,107.97,477991
2022-01-19,107.24,107.9,105.98,107.12,239216
2022-01-20,108.98,109.65,106.53,107.64,360714
2022-01-21,103.55,104.77,102.4,103.98,227169
2022-01-24,101.86,102.53,100.34,100.81,336647
2022-01-25,99.96,100.11,99.01,99.84,183851
2022-01-26,97.68,98.27,96.5,98.07,398984
2022-01-27,98.38,100.25,96.16,98.67,181827
2022-01-28,96.92,97.6,96.57,97.11,351407
2022-01-31,94.93,95.87,94.27,94.69,420635
2022-02-01,97.54,97.58,96.3,97.23,367231
2022-02-02,96.55,97.1,96.2,96.89,485497
2022-02-03,97.04,98.11,96.72,97.05,101482
2022-02-04,95.83,96.83,93.74,94.61,498073
2022-02-07,94.7,96.99,92.33,93.73,172989
2022-02-08,94.21,94.35,93.67,93.97,460616
2022-02-09,92.09,93.41,91.93,92.07,352259
2022-02-10,92.8,93.72,92.4,92.74,326393
2022-02-11,92.12,92.27,91.4,91.78,294255
2022-02-14,90.78,91.7,90.76,91.34,490041
2022-02-15,90.26,90.98,88.46,90.4,160361
2022-02-16,92.52,94.19,92.04,93.46,336744
2022-02-17,93.71,94.06,93.14,93.48,349850
2022-02-18,92.11,92.48,91.03,91.75,331366
2022-02-21,92.88,93.94,92.84,93.15,411185
2022-02-22,92.01,94.05,90.83,91.15,416648
2022-02-23,90.87,91.83,90.62,91.54,91139
2022-02-24,87.58,88.72,87.46,88.36,164919
2022-02-25,86.41,86.42,85.63,86.29,297677
2022-02-28,87.18,88.42,86.5,86.64,353446
2022-03-01,88.72,89.21,87.41,87.83,275756
2022-03-02,87.91,88.44,87.8,88.15,399982
