DeltaPower,ThetaPower,AlphaPower,BetaPower,GammaPower,MeanAmplitude,PeakFrequency,SignalEntropy,SignalVariance,BrainState
45.218,29.702,25.729,13.37,7.443,5.714,6.762,1.561,0.556,Drowsy
43.608,27.263,23.819,12.551,5.898,5.404,6.95,1.368,0.588,Drowsy
52.799,27.731,27.593,8.101,6.395,4.614,5.496,1.474,0.503,Drowsy
40.392,32.777,25.003,9.776,7.414,7.25,6.279,1.64,0.38,Drowsy
21.412,20.301,44.624,28.481,12.594,10.789,14.369,2.037,0.701,Focused
41.471,31.26,22.314,13.531,8.964,4.709,7.641,1.413,0.542,Drowsy
43.492,32.545,31.254,10.549,6.715,6.347,7.944,1.433,0.31,Drowsy
31.656,29.94,24.683,11.347,8.45,4.669,7.926,1.543,0.556,Drowsy
18.526,15.224,24.005,40.565,15.988,19.065,18.624,2.425,0.737,Stressed
34.222,23.626,30.158,21.612,11.157,11.316,9.331,1.636,0.545,Normal
20.422,14.731,22.517,37.808,20.814,15.684,14.346,2.523,0.786,Stressed
29.867,26.053,29.135,21.01,10.853,8.666,9.567,1.939,0.485,Normal
45.42,25.627,18.375,11.668,7.114,5.921,6.826,1.505,0.541,Drowsy
18.635,16.314,28.21,44.663,16.891,13.219,18.695,2.392,0.673,Stressed
17.489,13.482,24.542,35.914,21.597,18.314,17.056,2.44,0.595,Stressed
19.828,15.801,22.59,40.201,26.328,16.73,19.395,2.452,0.71,Stressed
22.463,24.448,39.676,30.796,15.549,11.724,14.504,2.173,0.743,Focused
19.74,17.874,24.026,33.205,22.347,14.594,16.332,2.562,0.826,Stressed
15.854,13.849,21.826,40.154,15.858,15.034,20.032,2.418,0.682,Stressed
23.21,13.492,35.334,31.881,12.472,9.595,13.199,2.135,0.609,Focused
46.816,30.298,22.815,14.517,7.874,4.89,5.398,1.454,0.506,Drowsy
35.281,25.486,24.375,20.603,10.953,6.119,10.352,1.637,0.578,Normal
26.742,19.525,36.893,28.059,16.066,9.553,15.954,2.066,0.715,Focused
50.389,35.776,24.145,12.2,6.088,4.698,7.117,1.632,0.465,Drowsy
37.294,24.018,28.429,21.711,9.894,7.445,9.689,1.992,0.584,Normal
32.845,23.342,26.42,15.235,9.771,11.619,10.942,1.798,0.534,Normal
44.086,23.114,30.789,22.658,11.893,7.857,10.335,1.873,0.561,Normal
19.001,15.361,23.205,34.123,21.36,14.027,15.412,2.355,0.759,Stressed
17.498,16.02,27.284,34.335,21.005,14.979,17.6,2.506,0.753,Stressed
15.805,12.65,20.961,38.445,20.509,16.516,17.465,2.294,0.613,Stressed
23.027,18.543,37.114,29.098,15.762,13.483,13.42,2.027,0.649,Focused
38.501,18.258,31.347,25.241,8.548,10.509,10.503,1.715,0.547,Normal
56.872,28.009,24.238,10.914,7.321,7.687,4.909,1.549,0.463,Drowsy
19.472,16.727,35.909,35.29,16.818,9.792,15.292,1.84,0.548,Focused
24.412,14.661,45.25,34.204,16.351,8.987,12.361,2.082,0.65,Focused
28.68,26.189,30.297,18.152,9.629,6.872,10.383,1.961,0.437,Normal
59.249,29.78,22.754,12.6,7.98,5.965,8.534,1.63,0.415,Drowsy
45.624,27.341,20.119,14.913,8.052,4.831,7.327,1.55,0.551,Drowsy
18.896,14.15,18.436,31.567,16.954,13.667,17.808,2.278,0.72,Stressed
28.022,23.81,25.64,20.279,10.057,6.709,9.539,1.921,0.515,Normal
23.232,21.285,33.673,38.71,15.566,10.645,15.363,1.967,0.571,Focused
32.426,22.883,31.029,22.883,10.79,11.015,9.788,1.704,0.467,Normal
24.417,16.813,37.468,29.559,16.921,10.518,16.199,2.198,0.649,Focused
20.194,16.36,24.151,43.743,19.1,17.353,17.054,2.479,0.786,Stressed
21.356,17.915,37.387,33.282,16.405,12.623,12.425,2.175,0.7,Focused
25.811,15.286,41.708,30.929,13.53,12.186,14.408,2.168,0.678,Focused
17.595,17.614,21.623,37.634,15.175,13.014,20.169,2.597,0.704,Stressed
54.443,28.104,23.429,10.9,7.736,4.936,7.774,1.454,0.361,Drowsy
19.797,22.718,40.602,29.77,12.973,10.861,13.713,2.234,0.631,Focused
17.049,14.984,20.902,37.929,14.912,13.896,17.627,2.473,0.698,Stressed
50.511,33.038,26.178,12.653,5.671,6.075,7.575,1.587,0.438,Drowsy
19.22,15.593,25.562,38.378,20.005,14.588,17.451,2.317,0.728,Stressed
20.965,20.289,40.814,34.625,11.705,12.818,14.314,2.056,0.629,Focused
48.861,32.775,32.145,13.191,7.974,5.241,5.769,1.507,0.486,Drowsy
37.158,25.483,43.87,23.507,11.363,9.431,10.782,1.762,0.596,Normal
41.053,19.865,34.187,22.027,8.822,8.693,10.239,1.728,0.554,Normal
51.679,29.771,20.647,12.109,7.881,5.956,7.93,1.375,0.478,Drowsy
35.408,26.79,27.473,21.135,9.529,5.805,10.355,1.831,0.55,Normal
36.814,26.305,32.715,25.139,10.85,8.527,11.284,1.797,0.497,Normal
20.012,16.759,23.099,36.179,19.402,15.471,17.621,2.438,0.726,Stressed
23.223,15.047,41.868,27.267,14.928,11.938,13.164,2.17,0.636,Focused
32.284,20.885,36.074,24.328,9.99,10.22,10.093,1.697,0.641,Normal
44.075,33.484,27.981,13.978,6.284,6.713,7.759,1.443,0.434,Drowsy
41.785,20.445,27.867,21.93,10.336,6.786,10.509,1.743,0.549,Normal
47.671,34.262,26.025,11.914,6.494,5.05,5.979,1.435,0.525,Drowsy
52.777,27.726,25.874,11.476,6.845,2.268,6.734,1.616,0.442,Drowsy
45.433,37.394,22.562,15.032,7.029,3.937,8.642,1.515,0.531,Drowsy
18.16,18.292,20.139,38.465,20.346,12.249,17.0,2.318,0.652,Stressed
27.892,28.405,29.431,20.873,8.785,5.518,10.988,1.809,0.473,Normal
57.271,30.819,26.908,10.816,5.976,5.146,6.851,1.372,0.479,Drowsy
37.978,23.742,35.184,20.214,12.161,7.94,8.283,1.815,0.509,Normal
21.28,17.264,40.281,26.789,14.375,11.828,14.816,1.868,0.574,Focused
46.431,34.441,22.585,12.271,6.448,5.61,5.188,1.474,0.468,Drowsy
52.047,30.867,23.003,12.531,7.104,7.404,7.932,1.504,0.426,Drowsy
20.83,16.964,39.352,33.779,14.331,11.467,16.04,2.229,0.631,Focused
23.636,16.628,32.575,29.603,13.69,10.093,11.353,2.208,0.696,Focused
44.236,28.608,23.093,12.3,7.303,4.634,8.525,1.382,0.383,Drowsy
41.196,26.47,29.424,21.95,8.797,7.972,9.654,1.839,0.5,Normal
46.199,33.088,26.661,11.629,7.909,5.806,5.978,1.409,0.421,Drowsy
20.333,18.547,41.741,31.871,14.764,10.225,13.764,2.075,0.575,Focused
40.712,31.73,22.381,11.702,6.134,7.234,5.996,1.566,0.459,Drowsy
39.358,22.531,29.028,19.416,9.467,8.566,10.908,1.689,0.602,Normal
23.905,17.501,44.627,26.86,15.164,10.091,16.063,2.339,0.574,Focused
40.694,25.191,36.756,19.957,8.506,5.332,11.795,1.879,0.547,Normal
19.09,19.472,39.863,30.818,12.591,9.67,14.642,2.247,0.582,Focused
56.839,34.041,23.621,12.782,7.003,7.845,8.179,1.332,0.515,Drowsy
17.787,17.587,23.351,48.0,18.372,14.079,19.829,2.347,0.796,Stressed
43.309,35.403,29.058,11.328,6.472,2.073,5.222,1.339,0.488,Drowsy
18.7,17.582,23.527,45.769,20.021,15.087,17.681,2.482,0.675,Stressed
21.497,18.7,32.767,32.327,8.975,10.72,12.043,2.245,0.667,Focused
18.599,18.632,38.664,29.642,14.237,13.383,14.834,1.963,0.613,Focused
21.374,19.62,39.273,28.349,14.535,9.512,13.241,2.123,0.638,Focused
48.728,28.311,22.021,9.919,7.56,6.867,7.693,1.485,0.564,Drowsy
37.189,25.858,32.0,22.236,9.763,7.773,9.766,1.936,0.586,Normal
16.592,15.407,17.939,40.663,15.473,15.08,19.038,2.343,0.801,Stressed
21.307,17.273,42.379,33.776,12.019,11.258,14.806,2.283,0.673,Focused
19.19,14.592,23.134,32.189,20.449,14.934,17.125,2.377,0.711,Stressed
36.141,20.323,26.108,24.78,9.953,9.022,10.034,1.804,0.606,Normal
30.766,18.612,28.735,22.049,12.012,8.49,9.737,1.9,0.417,Normal
17.026,16.564,21.775,39.722,16.367,15.946,20.118,2.735,0.705,Stressed
52.517,26.767,22.702,11.336,5.108,6.504,6.673,1.616,0.414,Drowsy
22.827,16.69,40.079,30.237,12.833,9.268,11.898,2.053,0.629,Focused
19.325,15.938,26.392,35.652,15.729,14.2,17.08,2.391,0.662,Stressed
27.269,24.717,40.767,31.297,14.898,12.331,13.615,2.315,0.634,Focused
45.548,31.622,24.215,12.801,5.4,5.349,9.067,1.408,0.444,Drowsy
65.846,29.071,26.53,11.065,7.248,5.643,6.507,1.718,0.551,Drowsy
46.727,30.25,25.578,15.445,5.237,7.025,6.862,1.568,0.441,Drowsy
17.377,18.91,27.302,34.661,17.197,16.912,16.637,2.461,0.663,Stressed
31.989,18.624,29.702,21.679,11.816,8.946,8.771,2.022,0.623,Normal
15.786,16.221,28.111,45.384,20.55,14.515,18.323,2.338,0.803,Stressed
46.641,28.535,23.396,12.425,5.742,7.921,6.201,1.587,0.404,Drowsy
19.511,12.4,27.398,45.051,20.234,14.66,18.48,2.675,0.594,Stressed
20.747,16.534,21.559,40.214,16.721,16.587,18.098,2.188,0.682,Stressed
17.025,14.046,21.632,33.819,17.839,17.129,16.901,2.415,0.67,Stressed
37.612,19.478,27.382,21.347,9.911,8.931,10.213,1.64,0.573,Normal
22.378,19.835,41.159,34.237,12.656,8.138,13.528,2.22,0.704,Focused
35.708,27.795,26.376,25.009,11.581,7.823,7.454,1.727,0.628,Normal
19.073,17.219,25.152,30.332,17.919,14.955,18.585,2.492,0.709,Stressed
43.743,32.348,29.282,11.396,7.635,3.129,7.791,1.404,0.498,Drowsy
21.022,14.964,38.071,35.465,12.475,13.279,14.613,2.224,0.581,Focused
14.49,16.159,22.805,47.209,23.387,16.178,17.608,2.638,0.607,Stressed
25.093,15.459,40.223,36.538,14.808,10.696,13.366,2.224,0.535,Focused
56.501,31.769,24.313,10.363,6.31,7.954,7.165,1.434,0.511,Drowsy
23.845,18.909,40.244,29.98,10.382,12.646,13.425,1.996,0.662,Focused
37.486,22.98,27.935,22.269,11.859,6.141,8.239,1.82,0.553,Normal
55.225,32.632,26.615,13.031,9.011,9.278,6.176,1.695,0.503,Drowsy
39.021,32.95,26.272,10.609,6.548,5.3,5.22,1.402,0.412,Drowsy
23.564,12.159,35.128,30.125,15.064,11.034,12.313,1.982,0.632,Focused
18.414,15.692,22.401,42.054,24.135,17.459,15.693,2.469,0.689,Stressed
18.302,16.125,26.342,35.95,15.815,15.235,18.337,2.579,0.624,Stressed
48.931,30.37,25.448,9.968,7.675,6.359,7.88,1.273,0.499,Drowsy
18.193,15.15,24.022,44.537,18.674,12.19,20.453,2.28,0.636,Stressed
19.998,17.502,33.785,35.418,15.739,8.231,12.885,1.92,0.581,Focused
20.27,13.767,22.971,44.574,19.28,15.691,17.833,2.431,0.686,Stressed
51.853,32.419,26.153,10.568,7.21,4.225,6.697,1.624,0.528,Drowsy
37.263,21.013,29.315,19.688,8.341,9.389,12.291,1.632,0.584,Normal
33.536,22.994,28.842,27.483,10.458,8.645,11.236,1.829,0.534,Normal
28.688,24.731,31.684,24.866,10.118,8.462,9.53,1.832,0.529,Normal
39.574,24.185,26.12,20.112,10.816,6.904,10.26,1.805,0.511,Normal
34.03,26.005,36.656,24.974,9.677,6.34,13.088,1.807,0.551,Normal
27.805,27.899,29.588,25.268,8.087,7.101,10.006,1.806,0.523,Normal
34.239,22.13,34.757,25.748,9.279,5.2,11.209,1.718,0.597,Normal
55.609,30.389,22.28,13.38,7.557,4.461,7.458,1.62,0.551,Drowsy
19.014,19.023,33.776,34.133,12.457,10.374,13.646,2.217,0.675,Focused
14.968,15.839,30.492,39.029,19.56,12.837,19.135,2.514,0.747,Stressed
17.066,20.197,23.29,43.529,20.015,12.228,15.546,2.331,0.763,Stressed
11.619,14.768,22.197,35.304,20.293,14.372,17.01,2.273,0.657,Stressed
36.789,24.055,27.691,23.288,12.165,7.714,10.864,1.645,0.493,Normal
18.824,18.622,22.185,42.755,19.736,14.724,17.073,2.6,0.677,Stressed
23.011,18.305,28.285,34.95,14.362,11.762,18.711,1.85,0.723,Focused
59.187,23.71,25.284,9.659,4.894,6.446,7.167,1.466,0.474,Drowsy
33.467,21.583,26.239,16.809,12.467,6.345,9.734,1.767,0.568,Normal
17.404,13.775,18.771,37.532,22.154,16.884,19.425,2.302,0.631,Stressed
19.916,17.985,37.017,30.572,12.776,11.479,15.984,2.117,0.68,Focused
16.778,15.855,28.428,36.84,18.573,15.717,17.307,2.418,0.607,Stressed
20.284,18.182,38.058,33.843,13.549,8.245,13.481,2.195,0.602,Focused
20.285,15.401,33.248,30.129,13.409,9.845,12.445,2.045,0.631,Focused
41.768,28.548,25.254,13.311,6.846,4.186,7.068,1.514,0.491,Drowsy
38.51,20.746,31.907,25.806,7.034,6.805,10.692,1.776,0.572,Normal
17.911,20.146,24.263,38.174,18.487,17.456,17.064,2.488,0.666,Stressed
53.155,24.125,22.285,9.398,6.769,5.931,7.137,1.507,0.424,Drowsy
16.993,15.295,24.828,34.413,19.141,13.711,16.931,2.147,0.78,Stressed
41.108,24.623,18.628,13.038,6.542,10.391,5.807,1.389,0.446,Drowsy
49.4,28.307,26.837,10.591,5.839,3.303,4.332,1.438,0.462,Drowsy
18.129,16.204,22.163,39.722,22.707,15.171,17.048,2.289,0.673,Stressed
49.15,33.939,26.437,10.76,8.83,6.292,6.823,1.616,0.495,Drowsy
21.13,19.581,39.528,33.214,14.788,8.697,14.908,2.173,0.559,Focused
41.68,38.251,30.602,10.327,8.329,5.401,7.155,1.492,0.44,Drowsy
25.292,17.866,42.339,30.593,11.137,9.613,15.875,2.067,0.605,Focused
23.571,16.796,36.117,28.441,13.947,9.727,14.688,1.886,0.598,Focused
17.095,19.303,39.36,34.452,15.778,11.551,14.178,1.994,0.577,Focused
17.391,19.069,39.748,30.428,15.69,9.309,15.353,2.119,0.6,Focused
35.875,18.12,29.11,20.2,8.798,7.578,12.157,1.877,0.516,Normal
18.463,14.125,24.462,37.966,18.163,16.101,16.155,2.468,0.741,Stressed
24.625,19.395,27.185,39.842,14.496,9.835,14.189,2.121,0.58,Focused
21.002,18.5,40.948,31.172,12.533,12.322,14.865,1.99,0.701,Focused
24.068,17.457,35.275,37.462,16.921,12.468,14.102,2.003,0.57,Focused
21.811,14.721,36.372,35.419,14.966,11.751,14.06,2.101,0.58,Focused
15.593,12.661,27.187,29.082,19.51,19.677,17.986,2.266,0.697,Stressed
42.982,30.26,27.215,10.354,7.073,6.35,6.138,1.429,0.494,Drowsy
19.681,18.216,40.192,37.747,13.168,10.254,15.38,2.136,0.696,Focused
38.589,28.471,26.507,10.717,5.801,6.104,8.035,1.297,0.529,Drowsy
21.8,22.261,31.68,33.941,16.502,14.407,13.515,2.159,0.654,Focused
49.676,33.448,22.627,12.049,5.853,7.052,7.623,1.559,0.48,Drowsy
16.42,14.276,22.164,38.198,19.883,15.353,13.574,2.303,0.677,Stressed
45.835,21.685,35.901,26.429,9.336,8.853,11.954,1.755,0.538,Normal
17.037,19.539,29.413,30.57,14.735,11.278,14.511,2.127,0.697,Focused
25.969,17.287,37.035,29.59,13.516,13.128,11.015,2.253,0.64,Focused
22.783,13.412,23.073,39.844,24.59,13.013,20.38,2.491,0.725,Stressed
45.736,24.355,20.523,10.558,6.225,4.568,7.622,1.439,0.469,Drowsy
19.037,18.656,27.647,43.408,21.533,17.546,18.398,2.478,0.681,Stressed
17.931,13.733,20.683,50.134,17.935,14.515,17.559,2.349,0.737,Stressed
42.852,28.603,24.472,7.825,8.404,4.648,7.607,1.49,0.555,Drowsy
35.483,23.539,32.417,22.563,9.098,7.521,9.045,1.929,0.551,Normal
32.392,23.516,28.3,16.775,10.897,6.391,10.287,2.049,0.495,Normal
18.982,19.772,37.705,32.28,14.123,10.775,15.43,2.09,0.553,Focused
19.016,23.209,44.915,34.312,14.121,10.682,12.858,2.109,0.635,Focused
33.706,26.245,34.717,25.685,9.325,7.686,7.98,1.703,0.608,Normal
51.609,25.538,20.491,10.926,6.444,7.13,6.263,1.397,0.443,Drowsy
32.042,19.944,24.396,23.6,8.463,10.632,7.502,2.004,0.563,Normal
34.75,14.665,26.312,21.333,8.503,10.449,8.284,1.747,0.558,Normal
46.573,34.753,22.377,12.904,6.765,5.763,6.779,1.399,0.479,Drowsy
35.298,35.003,20.964,10.555,6.722,8.125,7.928,1.481,0.498,Drowsy
46.631,30.276,23.465,8.969,8.715,6.233,7.478,1.493,0.436,Drowsy
17.842,14.482,26.926,38.064,16.436,11.926,19.513,2.474,0.705,Stressed
46.904,24.609,29.09,11.563,6.589,8.383,5.509,1.365,0.414,Drowsy
38.917,19.915,23.661,17.972,11.515,7.172,13.07,1.732,0.561,Normal
17.591,15.834,17.618,39.062,22.008,13.398,17.099,2.495,0.611,Stressed
22.762,15.501,31.921,26.042,15.112,12.783,16.219,2.201,0.69,Focused
19.689,14.25,23.943,38.81,18.972,14.984,16.639,2.524,0.592,Stressed
36.043,22.677,26.941,24.192,8.973,8.107,9.427,1.857,0.57,Normal
40.192,27.143,32.193,19.116,9.62,9.82,10.17,2.078,0.574,Normal
21.592,15.693,23.299,40.271,19.7,14.677,19.372,2.418,0.743,Stressed
19.703,12.581,28.328,43.726,18.839,16.856,17.695,2.345,0.729,Stressed
53.799,24.344,28.245,12.054,7.917,5.895,3.973,1.482,0.544,Drowsy
22.527,18.57,43.802,34.813,14.485,8.518,12.848,2.085,0.626,Focused
57.523,32.243,25.72,12.7,6.161,8.435,9.39,1.547,0.575,Drowsy
37.455,29.692,24.369,26.269,10.125,6.652,8.404,1.777,0.605,Normal
17.952,12.605,32.619,48.38,21.734,13.87,17.864,2.335,0.776,Stressed
54.445,34.588,24.485,13.582,7.3,6.097,8.088,1.509,0.603,Drowsy
21.217,18.521,32.751,33.483,13.656,13.633,15.888,2.044,0.611,Focused
43.336,30.676,22.638,12.293,7.573,7.444,5.529,1.764,0.526,Drowsy
15.025,15.341,27.29,45.555,19.588,13.898,19.147,2.542,0.63,Stressed
34.863,18.046,29.679,18.556,10.804,8.55,8.872,1.738,0.486,Normal
16.096,16.173,27.354,44.443,20.082,14.456,19.137,2.481,0.663,Stressed
31.186,19.933,35.276,21.404,10.081,5.863,9.347,1.813,0.481,Normal
38.274,25.968,27.013,12.869,6.671,4.473,5.767,1.455,0.519,Drowsy
24.223,17.203,24.744,30.561,12.255,8.553,12.515,2.113,0.7,Focused
16.038,17.16,19.343,41.662,18.488,13.899,16.264,2.344,0.765,Stressed
47.639,30.868,25.254,13.149,7.776,4.424,8.043,1.358,0.515,Drowsy
24.75,19.26,37.409,34.227,12.812,12.283,15.979,2.228,0.576,Focused
17.57,16.355,24.958,42.687,20.57,13.184,16.874,2.334,0.683,Stressed
20.939,19.472,32.739,34.898,14.335,11.71,13.225,1.901,0.65,Focused
58.376,25.314,19.441,11.82,7.013,6.328,6.464,1.476,0.502,Drowsy
36.291,26.341,32.267,19.811,9.328,9.121,10.732,1.797,0.557,Normal
33.382,24.327,32.384,26.187,8.515,11.2,7.657,1.782,0.585,Normal
33.109,24.002,32.164,18.188,7.245,7.174,8.535,1.739,0.541,Normal
16.517,16.739,26.3,45.38,23.767,14.899,19.432,2.359,0.754,Stressed
36.543,29.294,29.196,21.078,9.977,7.545,10.96,1.606,0.487,Normal
18.722,18.722,37.292,24.674,12.555,10.38,16.265,2.167,0.54,Focused
36.578,22.27,28.95,20.411,12.223,7.98,8.731,1.899,0.477,Normal
30.196,24.313,29.88,21.451,9.846,5.177,9.342,1.811,0.56,Normal
44.157,27.361,28.288,12.612,5.702,5.191,7.464,1.601,0.439,Drowsy
18.072,15.843,26.855,43.588,20.715,15.675,17.875,2.613,0.611,Stressed
21.805,17.024,38.889,29.088,12.101,11.934,14.755,2.003,0.674,Focused
36.787,21.215,29.828,21.99,8.61,10.255,11.053,1.773,0.552,Normal
18.33,18.341,32.996,26.329,12.758,12.788,15.14,2.129,0.528,Focused
37.587,25.708,28.886,22.861,8.499,9.386,9.778,1.737,0.613,Normal
37.072,24.532,26.91,23.849,9.309,8.183,13.072,1.788,0.619,Normal
28.919,15.598,44.677,35.828,14.471,13.638,14.447,2.147,0.617,Focused
41.995,26.921,23.373,18.622,9.25,8.039,10.621,1.713,0.561,Normal
19.784,19.232,25.131,34.779,19.703,13.322,18.771,2.238,0.682,Stressed
17.725,16.197,23.142,43.039,19.07,12.098,17.821,2.116,0.721,Stressed
16.641,14.643,20.276,40.403,17.407,13.234,17.492,2.341,0.668,Stressed
27.07,15.359,38.325,27.033,12.831,9.623,15.488,2.052,0.684,Focused
19.017,17.028,43.733,29.944,14.602,9.904,14.91,2.182,0.731,Focused
38.604,31.729,21.835,13.185,6.191,7.039,8.327,1.603,0.495,Drowsy
16.477,13.409,24.058,38.081,28.106,16.015,17.509,2.273,0.587,Stressed
17.596,17.983,28.187,37.696,18.268,15.208,18.998,2.496,0.615,Stressed
31.977,22.673,33.806,22.907,7.884,8.486,9.538,1.719,0.587,Normal
37.672,28.964,25.735,11.611,5.704,8.391,7.124,1.672,0.464,Drowsy
22.949,23.074,34.735,30.4,13.894,11.594,14.316,2.254,0.474,Focused
