Claim_ID,Age,Annual_Income,Policy_Tenure_Years,Claim_Amount,Number_of_Previous_Claims,Days_to_Report,Policy_Premium,Vehicle_Age,Num_Policy_Changes,Hospitalization_Days,Claim_History,Claim_Type,Incident_Type,Policy_Type,Documentation_Complete,Fraud
CLM000001,57,85214,17.7,131152,1,22,11548,0,1,9,Frequent,Vehicle,Damage,Basic,Yes,1
CLM000002,78,73804,0.3,262193,1,58,35932,2,0,23,Minor,Health,Medical,Basic,No,1
CLM000003,60,133599,4.6,228455,1,59,44600,14,0,17,Minor,Life,Accident,Basic,No,1
CLM000004,72,64231,18.8,75100,0,58,16498,8,1,28,Clean,Property,Loss,Standard,No,1
CLM000005,70,87535,0.8,156193,0,15,23160,3,1,29,Minor,Travel,Accident,Standard,Yes,1
CLM000006,33,225672,7.9,110793,1,24,12225,3,1,16,Clean,Vehicle,Medical,Basic,Yes,0
CLM000007,67,161074,4.1,133191,1,18,30702,0,0,28,Clean,Travel,Damage,Basic,Yes,0
CLM000008,79,17601,15.2,54943,1,40,33550,0,1,4,Minor,Life,Medical,Standard,Yes,1
CLM000009,51,196756,19.6,115921,1,41,30351,1,0,8,Clean,Health,Theft,Basic,No,0
CLM000010,25,184919,13.8,135705,2,29,38502,16,0,12,Minor,Health,Medical,Basic,Yes,0
CLM000011,77,162507,15.7,104779,1,13,18451,1,1,24,Frequent,Property,Loss,Standard,No,1
CLM000012,20,150792,13.0,49619,1,9,44040,14,1,2,Clean,Life,Accident,Standard,No,0
CLM000013,22,88287,8.4,239798,2,8,6809,16,0,29,Minor,Travel,Theft,Standard,No,0
CLM000014,57,209268,3.7,226823,0,36,1634,10,3,29,Minor,Health,Damage,Standard,No,1
CLM000015,29,123850,1.5,254883,1,11,18615,12,1,28,Clean,Vehicle,Accident,Basic,Yes,1
CLM000016,79,48378,13.8,179714,4,45,14882,5,1,25,Frequent,Health,Loss,Basic,No,1
CLM000017,43,15135,9.5,150906,1,25,46898,17,0,11,Minor,Travel,Damage,Basic,No,0
CLM000018,39,123258,10.3,199153,3,59,36089,3,2,21,Frequent,Property,Theft,Premium,Yes,1
CLM000019,74,192749,5.3,49809,1,55,5746,8,0,6,Clean,Life,Loss,Premium,Yes,1
CLM000020,73,88036,9.3,186123,3,26,46050,19,0,22,Clean,Life,Accident,Standard,Yes,1
CLM000021,64,55516,7.9,247447,0,26,16068,19,1,9,Minor,Health,Theft,Basic,No,1
CLM000022,41,222703,1.2,202921,1,24,2274,16,0,16,Clean,Vehicle,Loss,Basic,Yes,1
CLM000023,29,136955,13.7,127484,0,2,9312,15,1,16,Clean,Life,Loss,Premium,Yes,0
CLM000024,45,195250,9.0,18933,1,31,5982,6,0,26,Clean,Health,Theft,Standard,Yes,0
CLM000025,77,163311,9.2,198123,3,9,22477,8,0,29,Frequent,Travel,Loss,Basic,No,1
CLM000026,21,35170,2.6,175307,0,12,10231,9,0,13,Frequent,Life,Damage,Basic,Yes,1
CLM000027,23,29699,0.4,230485,0,52,11480,6,1,30,Clean,Vehicle,Damage,Basic,Yes,1
CLM000028,52,196712,0.5,136054,0,58,21401,14,0,3,Minor,Life,Medical,Basic,Yes,1
CLM000029,37,159926,5.9,269516,0,23,12944,14,0,13,Clean,Health,Medical,Basic,Yes,0
CLM000030,72,174558,0.5,277051,2,44,11862,5,0,4,Clean,Health,Theft,Premium,Yes,1
CLM000031,28,231041,15.6,225239,0,54,49280,1,0,25,Minor,Health,Theft,Basic,Yes,1
CLM000032,68,101269,10.1,67420,3,10,38383,10,1,7,Frequent,Health,Theft,Standard,Yes,1
CLM000033,52,226129,10.7,80645,1,20,36068,3,3,5,Clean,Health,Loss,Standard,Yes,1
CLM000034,32,170545,12.7,274229,3,28,5641,17,0,11,Frequent,Vehicle,Damage,Premium,No,1
CLM000035,65,64957,3.4,121778,2,11,12450,4,2,17,Minor,Health,Accident,Basic,Yes,1
CLM000036,30,224535,9.2,38708,2,9,36520,18,0,10,Minor,Vehicle,Accident,Standard,Yes,0
CLM000037,56,117298,9.8,236773,1,20,6731,16,0,27,Clean,Vehicle,Theft,Premium,No,1
CLM000038,35,139067,10.2,214214,2,53,14480,2,1,11,Clean,Vehicle,Loss,Standard,Yes,1
CLM000039,76,221498,8.3,199827,1,45,18372,6,2,27,Clean,Property,Loss,Basic,Yes,1
CLM000040,52,207466,19.9,41117,3,0,35010,6,1,18,Clean,Property,Loss,Standard,No,1
CLM000041,70,246999,1.1,91438,4,10,47252,6,3,25,Minor,Health,Loss,Basic,Yes,0
CLM000042,53,55878,3.4,74536,1,53,41217,5,2,23,Clean,Property,Loss,Standard,Yes,1
CLM000043,34,92544,3.3,126957,0,11,9358,15,1,10,Clean,Property,Medical,Standard,Yes,0
CLM000044,30,173540,11.1,122656,1,21,48846,2,1,28,Clean,Property,Loss,Standard,Yes,0
CLM000045,68,234487,12.3,294558,4,12,35803,13,0,19,Clean,Property,Damage,Standard,Yes,0
CLM000046,41,22411,1.0,213739,1,17,10146,1,0,10,Frequent,Travel,Damage,Basic,Yes,1
CLM000047,52,37287,13.9,244587,1,34,42289,19,1,2,Minor,Life,Medical,Premium,Yes,1
CLM000048,47,157544,10.9,96167,1,23,11136,18,0,23,Minor,Health,Theft,Standard,No,0
CLM000049,39,119965,9.6,43548,2,28,26551,1,1,7,Clean,Property,Medical,Standard,Yes,0
CLM000050,64,214795,5.1,128122,1,8,8578,4,1,2,Clean,Vehicle,Accident,Basic,Yes,1
CLM000051,61,162988,11.9,200057,2,24,18722,1,1,11,Clean,Property,Loss,Standard,Yes,0
CLM000052,41,179010,15.2,15052,4,23,49365,0,1,22,Clean,Vehicle,Damage,Basic,Yes,1
CLM000053,27,68149,2.5,200611,1,38,16903,12,1,8,Clean,Travel,Medical,Standard,Yes,0
CLM000054,61,106026,14.4,193315,1,24,40211,8,1,26,Minor,Property,Loss,Standard,Yes,1
CLM000055,76,164629,11.8,152413,3,56,27034,14,1,3,Clean,Health,Medical,Standard,Yes,0
CLM000056,20,242237,14.2,268544,2,8,49795,13,1,5,Clean,Travel,Medical,Basic,No,1
CLM000057,75,75837,6.3,58155,3,45,8345,7,0,13,Clean,Vehicle,Accident,Premium,Yes,1
CLM000058,72,158331,0.5,175741,0,16,34296,8,4,15,Minor,Property,Medical,Standard,Yes,0
CLM000059,19,244690,3.3,194532,1,27,38230,10,0,18,Clean,Vehicle,Theft,Basic,No,1
CLM000060,68,154977,6.1,126835,0,40,40789,0,1,14,Minor,Vehicle,Damage,Standard,No,1
CLM000061,23,184974,2.6,205264,1,27,2133,11,0,25,Clean,Travel,Accident,Premium,Yes,0
CLM000062,66,66201,7.0,83946,0,53,41733,11,2,9,Minor,Property,Accident,Standard,Yes,0
