Customer_ID,Age_Group,Gender,City,Customer_Segment,Product_Category,Product_Brand,Device_Type,Membership_Type,Browsing_Category,Previous_Purchase_Category,Price_Range,Discount_Available,Review_Rating,Browsing_Time_Min,Purchase_Frequency,Recommended
C000001,26-35,Male,Pune,Regular,Electronics,Brand_C,Mobile,Basic,Electronics,Fashion,Medium,Yes,4.7,18.7,3,1
C000002,36-45,Female,Hyderabad,Premium,Beauty,Brand_C,Mobile,Platinum,Books,Beauty,Medium,Yes,3.9,3.3,1,1
C000003,18-25,Female,Mumbai,New,Fashion,Brand_E,Mobile,Basic,Electronics,Grocery,Premium,Yes,3.9,11.8,4,1
C000004,56+,Female,Chennai,Regular,Beauty,Brand_A,Mobile,Basic,Fashion,Fashion,Low,No,4.5,22.2,5,1
C000005,56+,Female,Jaipur,Premium,Sports,Brand_C,Mobile,Platinum,Sports,None,Low,Yes,2.8,4.9,1,0
C000006,46-55,Female,Jaipur,Regular,Sports,Brand_C,Desktop,Silver,Fashion,Fashion,Low,Yes,4.5,35.5,3,1
C000007,56+,Female,Nagpur,New,Books,Brand_A,Desktop,Basic,Home,Electronics,Premium,Yes,1.4,11.8,3,1
C000008,56+,Female,Pune,Premium,Grocery,Brand_E,Desktop,Gold,Fashion,Fashion,Medium,No,1.8,21.0,3,1
C000009,36-45,Female,Chennai,New,Home,Brand_F,Mobile,Basic,Electronics,Electronics,Medium,No,4.8,14.5,4,1
C000010,46-55,Female,Jaipur,New,Beauty,Brand_C,Mobile,Silver,Electronics,Home,Low,No,2.5,26.0,1,1
C000011,18-25,Female,Ahmedabad,Regular,Home,Brand_D,Mobile,Basic,Home,Fashion,High,No,3.2,7.7,4,1
C000012,26-35,Male,Ahmedabad,Regular,Fashion,Brand_D,Mobile,Silver,Beauty,Fashion,Low,No,3.6,19.1,4,0
C000013,18-25,Male,Pune,Regular,Electronics,Brand_D,Desktop,Gold,Grocery,Beauty,Low,Yes,2.2,7.2,5,1
C000014,56+,Female,Bengaluru,VIP,Fashion,Brand_B,Mobile,Gold,Sports,Electronics,Medium,Yes,4.7,48.4,3,1
C000015,26-35,Male,Hyderabad,VIP,Home,Brand_F,Mobile,Basic,Books,Home,High,No,2.7,22.2,6,1
C000016,18-25,Female,Bengaluru,Regular,Books,Brand_A,Mobile,Basic,Home,None,Premium,Yes,4.0,15.5,2,0
C000017,26-35,Male,Nagpur,New,Books,Brand_A,Mobile,Platinum,Beauty,Sports,Low,Yes,2.4,18.4,3,0
C000018,56+,Male,Hyderabad,Regular,Home,Brand_A,Mobile,Basic,Home,Grocery,Medium,No,2.4,20.2,5,1
