Customer_ID,Age,Annual_Income,Employment_Years,Credit_Score,Credit_Amount,Interest_Rate,Loan_Term_Months,Existing_Loans,Debt_to_Income_Ratio,Late_Payments,Credit_Utilization,Bank_Account_Balance,Previous_Default,Loan_Purpose,Default
C000001,66,37640,11.4,712,183873,6.26,72,1,0.062,0,0.429,43795,0,Auto,0
C000002,23,215439,10.2,605,58251,25.38,24,1,0.335,2,0.307,93864,1,Education,1
C000003,49,108776,5.2,689,176588,24.45,12,2,0.02,1,0.395,287947,0,Personal,1
C000004,55,79287,0.0,616,256467,16.68,48,2,0.163,2,0.371,201311,0,Personal,1
C000005,59,26182,8.3,794,94355,11.36,84,2,0.537,1,0.469,418283,0,Home,0
C000006,38,26981,0.0,606,449908,14.82,60,0,0.143,0,0.235,87142,0,Home,1
C000007,40,163460,0.0,652,491513,15.61,60,1,0.597,2,0.575,163550,1,Home,1
C000008,63,145764,15.1,630,482279,12.5,60,1,0.462,2,0.338,381020,0,Education,1
C000009,43,167183,4.7,715,48774,19.72,48,3,0.545,2,0.891,327876,0,Education,1
C000010,54,59770,16.2,658,451573,18.35,36,2,0.485,2,0.659,74443,0,Home,1
C000011,53,69696,0.0,557,307937,7.24,12,1,0.426,0,0.347,466200,0,Business,0
C000012,68,89977,10.8,724,329029,15.18,48,3,0.241,1,0.395,380830,0,Home,1
C000013,30,35814,14.6,546,43704,26.81,36,2,0.184,0,0.277,85260,0,Home,0
C000014,53,77502,8.8,681,18745,9.29,60,3,0.093,2,0.258,336788,0,Education,1
C000015,67,87472,13.5,570,390624,10.46,48,1,0.344,1,0.485,410704,0,Personal,0
C000016,53,197934,9.7,634,328031,5.9,72,2,0.207,1,0.482,493249,1,Personal,1
C000017,68,172827,1.8,602,288104,22.65,36,3,0.597,1,0.651,399066,0,Personal,0
C000018,46,188535,6.7,624,117127,25.99,24,0,0.509,2,0.455,17386,1,Education,1
C000019,40,106860,6.0,675,287855,24.61,12,1,0.129,2,0.728,417886,1,Home,1
C000020,35,188329,1.0,778,334688,8.78,48,6,0.303,2,0.47,392370,0,Education,1
C000021,57,213028,2.5,674,167441,9.37,48,3,0.245,0,0.682,195300,0,Medical,0
C000022,53,229347,9.8,669,200979,6.87,60,1,0.538,0,0.584,26727,1,Personal,1
C000023,37,163512,10.5,788,61713,19.96,12,0,0.375,1,0.362,199714,0,Auto,0
C000024,25,163414,11.6,723,310880,6.22,48,2,0.369,0,0.182,177261,0,Personal,0
C000025,24,238195,8.5,800,248146,10.82,60,2,0.135,0,0.389,397372,0,Auto,0
C000026,23,133054,0.3,716,141049,15.29,48,1,0.135,0,0.44,284310,0,Home,0
C000027,41,224438,6.2,678,449545,15.09,36,1,0.185,2,0.525,214919,0,Home,0
C000028,60,142765,0.0,666,22882,15.15,84,0,0.213,1,0.255,450158,1,Home,1
C000029,23,121262,10.7,663,118795,18.45,60,0,0.228,1,0.741,238415,1,Auto,0
C000030,41,200775,13.2,591,366436,14.79,84,2,0.22,3,0.458,330517,0,Business,1
C000031,68,59412,8.0,675,360821,9.49,24,0,0.443,2,0.594,90679,0,Auto,0
C000032,69,219806,11.5,685,18087,22.67,84,1,0.536,1,0.256,165227,0,Personal,0
C000033,28,208259,2.6,728,102952,20.16,36,0,0.267,0,0.859,40358,0,Education,1
C000034,62,25528,8.1,602,72516,16.41,24,4,0.419,0,0.34,443641,0,Personal,0
C000035,56,68396,8.4,569,470176,26.03,60,1,0.257,1,0.632,428179,0,Home,0
C000036,49,54711,2.7,668,335585,9.64,72,0,0.361,1,0.258,478197,0,Home,0
C000037,59,239160,5.2,728,346145,8.84,72,1,0.368,1,0.71,351726,0,Personal,0
C000038,54,32712,17.3,650,336475,12.16,84,0,0.214,2,0.419,401925,0,Business,0
C000039,42,35005,6.0,632,152630,19.17,60,3,0.487,1,0.437,192442,0,Personal,0
C000040,51,239780,4.8,776,8581,6.71,36,0,0.498,0,0.784,112674,0,Personal,1
